OCC,Category
3602,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
3603,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
3605,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
3610,Occupational Therapy and Physical Therapist Assistants and Aides
3620,Occupational Therapy and Physical Therapist Assistants and Aides
3630,Other Healthcare Support Occupations
3640,Other Healthcare Support Occupations
3645,Other Healthcare Support Occupations
3646,Other Healthcare Support Occupations
3647,Other Healthcare Support Occupations
3648,Other Healthcare Support Occupations
3649,Other Healthcare Support Occupations
3655,Other Healthcare Support Occupations
3700,Supervisors of Protective Service Workers
3710,Supervisors of Protective Service Workers
3720,Supervisors of Protective Service Workers
3725,Supervisors of Protective Service Workers
3740,Firefighting and Prevention Workers
3750,Firefighting and Prevention Workers
3801,Law Enforcement Workers
3802,Law Enforcement Workers
3820,Law Enforcement Workers
3840,Law Enforcement Workers
3870,Law Enforcement Workers
3900,Other Protective Service Workers
3910,Other Protective Service Workers
3930,Other Protective Service Workers
3940,Other Protective Service Workers
3945,Other Protective Service Workers
3946,Other Protective Service Workers
3960,Other Protective Service Workers
4000,Supervisors of Food Preparation and Serving Workers
4010,Supervisors of Food Preparation and Serving Workers
4020,Cooks and Food Preparation Workers
4030,Cooks and Food Preparation Workers
4040,Food and Beverage Serving Workers
4055,Food and Beverage Serving Workers
4110,Food and Beverage Serving Workers
4120,Food and Beverage Serving Workers
4130,Other Food Preparation and Serving Related Workers
4140,Other Food Preparation and Serving Related Workers
4150,Other Food Preparation and Serving Related Workers
4160,Other Food Preparation and Serving Related Workers
4200,Supervisors of Building and Grounds Cleaning and Maintenance Workers
4210,Supervisors of Building and Grounds Cleaning and Maintenance Workers
4220,Building Cleaning and Pest Control Workers
4230,Building Cleaning and Pest Control Workers
4240,Building Cleaning and Pest Control Workers
4251,Grounds Maintenance Workers
4252,Grounds Maintenance Workers
4255,Grounds Maintenance Workers
4330,Supervisors of Personal Care and Service Workers
4340,Animal Care and Service Workers
4350,Animal Care and Service Workers
4400,Entertainment Attendants and Related Workers
4420,Entertainment Attendants and Related Workers
4435,Entertainment Attendants and Related Workers
4461,Funeral Service Workers
4465,Funeral Service Workers
4500,Personal Appearance Workers
4510,Personal Appearance Workers
4521,Personal Appearance Workers
4522,Personal Appearance Workers
4525,Personal Appearance Workers
4530,"Baggage Porters, Bellhops, and Concierges"
4540,Tour and Travel Guides
4600,Other Personal Care and Service Workers
4621,Other Personal Care and Service Workers
4622,Other Personal Care and Service Workers
4640,Other Personal Care and Service Workers
4655,Other Personal Care and Service Workers
4700,Supervisors of Sales Workers
4710,Supervisors of Sales Workers
4720,Retail Sales Workers
4740,Retail Sales Workers
4750,Retail Sales Workers
4760,Retail Sales Workers
4800,"Sales Representatives, Services"
4810,"Sales Representatives, Services"
4820,"Sales Representatives, Services"
4830,"Sales Representatives, Services"
4840,"Sales Representatives, Services"
4850,"Sales Representatives, Wholesale and Manufacturing"
4900,Other Sales and Related Workers
4920,Other Sales and Related Workers
4930,Other Sales and Related Workers
4940,Other Sales and Related Workers
4950,Other Sales and Related Workers
4965,Other Sales and Related Workers
5000,Supervisors of Office and Administrative Support Workers
5010,Communications Equipment Operators
5020,Communications Equipment Operators
5040,Communications Equipment Operators
5100,Financial Clerks
5110,Financial Clerks
5120,Financial Clerks
5140,Financial Clerks
5150,Financial Clerks
5160,Financial Clerks
5165,Financial Clerks
5220,Information and Record Clerks
5230,Information and Record Clerks
5240,Information and Record Clerks
5250,Information and Record Clerks
5260,Information and Record Clerks
5300,Information and Record Clerks
5310,Information and Record Clerks
5320,Information and Record Clerks
5330,Information and Record Clerks
5340,Information and Record Clerks
5350,Information and Record Clerks
5360,Information and Record Clerks
5400,Information and Record Clerks
5410,Information and Record Clerks
5420,Information and Record Clerks
5500,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
5510,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
5521,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
5522,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
5530,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
5540,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
5550,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
5560,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
5600,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
5610,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
5630,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
5710,Secretaries and Administrative Assistants
5720,Secretaries and Administrative Assistants
5730,Secretaries and Administrative Assistants
5740,Secretaries and Administrative Assistants
5810,Other Office and Administrative Support Workers
5820,Other Office and Administrative Support Workers
5840,Other Office and Administrative Support Workers
5850,Other Office and Administrative Support Workers
5860,Other Office and Administrative Support Workers
5900,Other Office and Administrative Support Workers
5910,Other Office and Administrative Support Workers
5920,Other Office and Administrative Support Workers
5940,Other Office and Administrative Support Workers
6005,"Supervisors of Farming, Fishing, and Forestry Workers"
6010,Agricultural Workers
6040,Agricultural Workers
6050,Agricultural Workers
6115,Fishing and Hunting Workers
6120,"Forest, Conservation, and Logging Workers"
6130,"Forest, Conservation, and Logging Workers"
6200,Supervisors of Construction and Extraction Workers
6210,Construction Trades Workers
6220,Construction Trades Workers
6230,Construction Trades Workers
6240,Construction Trades Workers
6250,Construction Trades Workers
6260,Construction Trades Workers
6305,Construction Trades Workers
6330,Construction Trades Workers
6355,Construction Trades Workers
6360,Construction Trades Workers
6400,Construction Trades Workers
6410,Construction Trades Workers
6441,Construction Trades Workers
6442,Construction Trades Workers
6460,Construction Trades Workers
6515,Construction Trades Workers
6520,Construction Trades Workers
6530,Construction Trades Workers
6540,Construction Trades Workers
6600,"Helpers, Construction Trades"
6660,Other Construction and Related Workers
6700,Other Construction and Related Workers
6710,Other Construction and Related Workers
6720,Other Construction and Related Workers
6730,Other Construction and Related Workers
6740,Other Construction and Related Workers
6765,Other Construction and Related Workers
6800,Extraction Workers
6825,Extraction Workers
6835,Extraction Workers
6850,Extraction Workers
6950,Extraction Workers
7000,"Supervisors of Installation, Maintenance, and Repair Workers"
7010,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
7020,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
7030,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
7040,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
7100,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
7120,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
7130,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
7140,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
7150,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
7160,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
7200,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
7210,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
7220,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
7240,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
7260,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
7300,"Other Installation, Maintenance, and Repair Occupations"
7315,"Other Installation, Maintenance, and Repair Occupations"
7320,"Other Installation, Maintenance, and Repair Occupations"
7330,"Other Installation, Maintenance, and Repair Occupations"
7340,"Other Installation, Maintenance, and Repair Occupations"
7350,"Other Installation, Maintenance, and Repair Occupations"
7360,"Other Installation, Maintenance, and Repair Occupations"
7410,"Other Installation, Maintenance, and Repair Occupations"
7420,"Other Installation, Maintenance, and Repair Occupations"
7430,"Other Installation, Maintenance, and Repair Occupations"
7510,"Other Installation, Maintenance, and Repair Occupations"
7540,"Other Installation, Maintenance, and Repair Occupations"
7560,"Other Installation, Maintenance, and Repair Occupations"
7610,"Other Installation, Maintenance, and Repair Occupations"
7640,"Other Installation, Maintenance, and Repair Occupations"
7700,Supervisors of Production Workers
7720,Assemblers and Fabricators
7730,Assemblers and Fabricators
7740,Assemblers and Fabricators
7750,Assemblers and Fabricators
7800,Food Processing Workers
7810,Food Processing Workers
7830,Food Processing Workers
7840,Food Processing Workers
7850,Food Processing Workers
7855,Food Processing Workers
7905,Other Production Occupations
7925,Metal Workers and Plastic Workers
7950,Metal Workers and Plastic Workers
8000,Metal Workers and Plastic Workers
8025,Metal Workers and Plastic Workers
8030,Metal Workers and Plastic Workers
8040,Metal Workers and Plastic Workers
8100,Metal Workers and Plastic Workers
8130,Metal Workers and Plastic Workers
8140,Metal Workers and Plastic Workers
8225,Metal Workers and Plastic Workers
8250,Printing Workers
8255,Printing Workers
8256,Printing Workers
8300,"Textile, Apparel, and Furnishings Workers"
8310,"Textile, Apparel, and Furnishings Workers"
8320,"Textile, Apparel, and Furnishings Workers"
8335,"Textile, Apparel, and Furnishings Workers"
8350,"Textile, Apparel, and Furnishings Workers"
8365,"Textile, Apparel, and Furnishings Workers"
8450,"Textile, Apparel, and Furnishings Workers"
8465,"Textile, Apparel, and Furnishings Workers"
8500,Woodworkers
8510,Woodworkers
8530,Woodworkers
8540,Woodworkers
8555,Woodworkers
8600,Plant and System Operators
8610,Plant and System Operators
8620,Plant and System Operators
8630,Plant and System Operators
8640,Other Production Occupations
8650,Other Production Occupations
8710,Other Production Occupations
8720,Other Production Occupations
8730,Other Production Occupations
8740,Other Production Occupations
8750,Other Production Occupations
8760,Other Production Occupations
8800,Other Production Occupations
8810,Other Production Occupations
8830,Other Production Occupations
8850,Other Production Occupations
8910,Other Production Occupations
8920,Other Production Occupations
8930,Other Production Occupations
8940,Other Production Occupations
8950,Other Production Occupations
8990,Other Production Occupations
9005,Supervisors of Transportation and Material Moving Workers
9030,Air Transportation Workers
9040,Air Transportation Workers
9050,Air Transportation Workers
9110,Motor Vehicle Operators
9121,Motor Vehicle Operators
9122,Motor Vehicle Operators
9130,Motor Vehicle Operators
9141,Motor Vehicle Operators
9142,Motor Vehicle Operators
9150,Motor Vehicle Operators
9210,Rail Transportation Workers
9240,Rail Transportation Workers
9265,Rail Transportation Workers
9300,Water Transportation Workers
9310,Water Transportation Workers
9350,Other Transportation Workers
9365,Other Transportation Workers
9410,Other Transportation Workers
9415,Other Transportation Workers
9430,Other Transportation Workers
9510,Material Moving Workers
9570,Material Moving Workers
9600,Material Moving Workers
9610,Material Moving Workers
9620,Material Moving Workers
9630,Material Moving Workers
9640,Material Moving Workers
9645,Material Moving Workers
9650,Material Moving Workers
9720,Material Moving Workers
9760,Material Moving Workers
9800,Military Officer Special and Tactical Operations Leaders
9810,First-Line Enlisted Military Supervisors
9825,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
9830,"Military, rank not specified"
9920,"Unemployed, with no work experience in the last 5 years or earlier or never worked"

